Unnamed: 0	intent	text	prediction	score	drop
1937	KUG_Anspruchsvoraussetzungen	Was muss ich erfüllen, um Kurzarbeitergeld zu kriegen?	KUG_Anspruchsvoraussetzungen	0.953329742	KUG_Anspruchsvoraussetzungen
1677	Teilarbeitslosengeld_Anspruchshoehe	bin teilarbeitslose, wie viel geld gibt es von euch?	Teilarbeitslosengeld_Anspruchshoehe	0.928357661	Teilarbeitslosengeld_Anspruchshoehe
1708	Teilarbeitslosengeld_Beantragung	hiermit beantrage ich teilarbeitslosengeld	Teilarbeitslosengeld_Beantragung	0.9705728	Teilarbeitslosengeld_Beantragung
1138	ALG_Nettoentgelt_Erklaerung	Was ist Nettogeld?	ALG_Nettoentgelt_Erklaerung	0.8621543	ALG_Nettoentgelt_Erklaerung
1969	KUG_Weiterfuehrende_Informationen	Ich muss in Kurzarbeit und kenn mich nicht aus	KUG_Weiterfuehrende_Informationen	0.907218754	KUG_Weiterfuehrende_Informationen
1334	Arbeitsvermittlung_Betreuer_erreichen	Kann mich mal einer zurückrufen?	Arbeitsvermittlung_Betreuer_erreichen	0.925427258	Arbeitsvermittlung_Betreuer_erreichen
392	Veraenderungsmitteilung_eService_Bankverbindung	habe neuen nachnamen, bitte ändern	Veraenderungsmitteilung_eService_Bankverbindung	0.9745121	Veraenderungsmitteilung_eService_Bankverbindung
905	None	fuck, der tamm ist im urlaub	None	0.95647186	None
1694	Teilarbeitslosengeld_Erklaerung	was ist denn dieses teilarbeitslosengeld?	Teilarbeitslosengeld_Erklaerung	0.961062551	Teilarbeitslosengeld_Erklaerung
1061	ALG_Aussteuerung	Ich hab, äh bin informiert worden, dass ich jetzt ausgesteuert werde. Was heißt es?	ALG_Aussteuerung	0.9598163	ALG_Aussteuerung
1872	Arbeitsvermittlung_Betreuer_erreichen	jemand soll mich mal zurückrufen	Arbeitsvermittlung_Betreuer_erreichen	0.933317542	Arbeitsvermittlung_Betreuer_erreichen
1801	ALG_Anfrage_Unterlagen_vollstaendig	wie siehts mit meinen unterlagen, sind die ok so?	ALG_Anfrage_Unterlagen_vollstaendig	0.9433514	ALG_Anfrage_Unterlagen_vollstaendig
1477	ALG_Arbeitslos_melden	Ich bin jetzt arbeitslos und möchte das melden	ALG_Arbeitslos_melden	0.958198667	ALG_Arbeitslos_melden
1068	Webseite_Verifizierung	Ich möchte mich ähm also, ihr müsst mich irgendwie verifizieren.	Webseite_Verifizierung	0.9185687	Webseite_Verifizierung
1012	ALG_Arbeitssuchend_melden	Ah ja, Ich möchte mich arbeitssuchend melden	ALG_Arbeitssuchend_melden	0.9455077	ALG_Arbeitssuchend_melden
1345	KUG_Auszahlung	Wann bekomme ich mein Kurzarbeitgeld?	KUG_Auszahlung	0.9609969	KUG_Auszahlung
1295	Allgemein_Oeffnungszeiten_BA	Wo stehen eure Öffnungszeiten?	Allgemein_Oeffnungszeiten_BA	0.9676207	Allgemein_Oeffnungszeiten_BA
941	SmallTalk_Any	wirst du auch mal krank?	SmallTalk_Any	0.894760847	SmallTalk_Any
630	KUG_Anspruchsvoraussetzungen	wann bekomme ich kurzarbeitergeld?	KUG_Anspruchsvoraussetzungen	0.9605484	KUG_Anspruchsvoraussetzungen
188	ALG_Anspruchsdauer	wonach richtet sich die länge, die ich arbeitslosengeld beziehen kann?	ALG_Anspruchsdauer	0.932639	ALG_Anspruchsdauer
458	ALG_Mitteilung_Ortsabwesenheit	ich fahre weg und möchte das mitteilen	Veraenderungsmitteilung_eService_Bankverbindung	0.8775434	Veraenderungsmitteilung_eService_Bankverbindung
1184	Teilarbeitslosengeld_Anspruchshoehe	Was bekomme ich denn an Geld für Teilarbeitslos?	Teilarbeitslosengeld_Beantragung	0.8810901	Teilarbeitslosengeld_Beantragung
1553	ALG_Widerspruch_Leistungsbescheid	bin mit dem leistungsbescheid nicht einverstanden	ALG_Widerspruch_Leistungsbescheid	0.999651968	ALG_Widerspruch_Leistungsbescheid
352	ALG_Beitraege_Private_Krankenversicherung	ich war vor der arbeitslosigkeit in der pivaten krankenkasse versichert. was ist wenn ich nun arbeitslosengeld 1 beziehe?	ALG_Beitraege_Private_Krankenversicherung	0.9710412	ALG_Beitraege_Private_Krankenversicherung
1858	Arbeitsvermittlung_Bildungsgutschein	stellt die arbeitsagentur bildungsgutscheine aus?	Arbeitsvermittlung_Bildungsgutschein	0.9801634	Arbeitsvermittlung_Bildungsgutschein
616	Allgemein_Ausbildungssuchend_Nachweis	ich benötige einen ausbildungssuchend nachweis.	Allgemein_Ausbildungssuchend_Nachweis	0.9765075	Allgemein_Ausbildungssuchend_Nachweis
473	ALG_Anfrage_Unterlagen_vollstaendig	habt ihr alle unterlagen für meinen alg antrag?	ALG_Anfrage_Unterlagen_vollstaendig	0.997114539	ALG_Anfrage_Unterlagen_vollstaendig
403	Veraenderungsmitteilung_eService_Bankverbindung	ich habe neue kontodaten, die ich mitteilen will	nan	nan	nan
1300	Arbeitsvermittlung_Vermittlungsgutschein	Brauche Gutschein für Vermittlung?	Arbeitsvermittlung_Vermittlungsgutschein	0.884417057	Arbeitsvermittlung_Vermittlungsgutschein
1940	KUG_Krankheit	Mein Doktor hat mich krankgeschrieben und ich bin in Kurzarbeit, was jetzt?	KUG_Krankheit	0.940067053	KUG_Krankheit
1938	KUG_Krankheit	Bin krank und in Kurzarbeit, gibts trotzdem Geld?	KUG_Krankheit	0.9911816	KUG_Krankheit
833	General_YesFeedback	doch.	General_YesFeedback	0.983779132	General_YesFeedback
196	ALG_Kuendigung	was bekomme ich von ihnen, nachdem mir gekündigt wurde?	ALG_Kuendigung	0.998654068	ALG_Kuendigung
193	ALG_Kuendigung	mir wurde gekuendigt. was bekomme ich von ihnen?	ALG_Kuendigung	0.996271431	ALG_Kuendigung
1325	Arbeitsvermittlung_Probearbeit_Mitteilung	Ich fange bald ein Praktikum an.	Arbeitsvermittlung_Probearbeit_Mitteilung	0.9742807	Arbeitsvermittlung_Probearbeit_Mitteilung
