areacode;origin;area
A;Augsburg;Landkreis Augsburg
AA;AAlen;Ostalbkreis
AB;AschaffenBurg;Landkreis Aschaffenburg
ABG;AltenBurG;Landkreis Altenburger Land
ABI;Anhalt, BItterfeld;Landkreis Anhalt-Bitterfeld
AC;AaChen;Städteregion Aachen
AE;AuErbach;Vogtlandkreis
AH;AHaus;Kreis Borken
AIB;AIBling;
AIC;AIChach;Landkreis Aichach-Friedberg
AK;AltenKirchen;Landkreis Altenkirchen
ALF;ALFeld;Landkreis Hildesheim
ALZ;ALZenau;Landkreis Aschaffenburg
AM;AMberg;Stadt Amberg
AN;ANsbach;Stadt Ansbach, Landkreis Ansbach
ANA;ANnAberg;Erzgebirgskreis
ANG;ANGermünde;Landkreis Uckermark
ANK;ANKlam;Landkreis Vorpommern-Greifswald
AÖ;AltÖtting;Landkreis Altötting
AP;APolda;Landkreis Weimarer Land
APD;APolDa;Landkreis Weimarer Land
ARN;ARNstadt;Ilm-Kreis
ART;ARTern;Kyffhäuserkreis
AS;Amberg, Sulzbach;Landkreis Amberg-Sulzbach
ASL;ASchersLeben;Salzlandkreis
ASZ;Aue, SchwarZenberg;Erzgebirgskreis
AT;AltenTreptow;
AU;AUe;Erzgebirgskreis
AUR;AURich;Landkreis Aurich
AW;AhrWeiler;Landkreis Ahrweiler
AZ;AlZey;Landkreis Alzey-Worms
AZE;Anhalt-ZErbst;Landkreis Anhalt-Bitterfeld
B;Berlin;Berlin
BA;BAmberg;Landkreis Bamberg
BAD;BADen-Baden;Stadt Baden-Baden
BAR;BARnim;Landkreis Barnim
BB;BöBlingen;Landkreis Böblingen
BBG;BernBurG;Salzlandkreis
BBL;BrandenBurgische Landesregierung;Brandenburg
BC;BiberaCh;Landkreis Biberach
BCH;BuCHen;Neckar-Odenwald-Kreis
BD;BundesDienst;Deutscher Bundestag
BE;BEckum;Kreis Warendorf
BED;Brand-ErbisDorf;Landkreis Mittelsachsen
BER;BERnau;Landkreis Barnim
BF;BurgsteinFurt;Kreis Steinfurt
BGD;BerchtesGaDen;Landkreis Berchtesgadener Land
BGL;BerchtesGadener Land;Landkreis Berchtesgadener Land
BH;BüHl;Ortenaukreis, Landkreis Rastatt
BI;BIelefeld;Stadt Bielefeld
BID;BIeDenkopf;Landkreis Marburg-Biedenkopf
BIN;BINgen;Landkreis Mainz-Bingen
BIR;BIRkenfeld;Landkreis Birkenfeld
BIT;BITburg;Eifelkreis Bitburg-Prüm
BIW;BIschofsWerda;Landkreis Bautzen
BK;BacKnang;Rems-Murr-Kreis
BKS;BernKaStel;Landkreis Bernkastel-Wittlich
BL;BaLingen;Zollernalbkreis
BLB;BerLeBurg;Kreis Siegen-Wittgenstein
BLK;BurgenLandKreis;Burgenlandkreis
BM;BergheiM;Rhein-Erft-Kreis
BN;BonN;Stadt Bonn, Diplomaten
BNA;BorNA;Landkreis Leipzig
BO;BOchum;Stadt Bochum
BÖ;BÖrde;Landkreis Börde
BOG;BOGen;Landkreis Straubing-Bogen
BOH;BOcHolt;Kreis Borken
BOR;BORken;Kreis Borken
BOT;BOTtrop;Stadt Bottrop
BP;BundesPolizei;Bundespolizei
BRA;BRAke;Landkreis Wesermarsch
BRB;BRandenBurg;Stadt Brandenburg an der Havel
BRG;BuRG;Landkreis Jerichower Land
BRK;BRücKenau;Landkreis Bad Kissingen
BRL;BRaunLage;Landkreis Goslar
BRV;BRemerVörde;Landkreis Rotenburg (Wümme)
BS;BraunSchweig;Stadt Braunschweig
BSB;BerSenBrück;Landkreis Osnabrück
BSK;BeeSKow;Landkreis Oder-Spree
BT;BayreuTh;Stadt Bayreuth, Landkreis Bayreuth
BTF;BitTerFeld;Landkreis Anhalt-Bitterfeld
BÜD;BÜDingen;Wetteraukreis
BUL;BUrgLengenfeld;Landkreis Amberg-Sulzbach
BÜR;BÜRen;Kreis Paderborn
BÜS;BÜSingen;Gemeinde Büsingen am Hochrhein
BÜZ;BÜtZow;Landkreis Rostock
BW;Bundes-Wasserstraßen- und Schifffahrtsverwaltung;Wasserstraßen- und Schifffahrtsverwaltung des Bundes
BWL;Baden-Württembergischer Landtag;Baden-Württemberg
BYL;BaYerischer Landtag;Bayern, Landesregierung und Landtag
BZ;BautZen;Landkreis Bautzen
C;Chemnitz;Stadt Chemnitz
CA;CAlau;Landkreis Oberspreewald-Lausitz
CAS;CAStrop;Kreis Recklinghausen
CB;CottBus;Stadt Cottbus
CE;CElle;Landkreis Celle
CHA;CHAm;Landkreis Cham
CLP;CLopPenburg;Landkreis Cloppenburg
CLZ;CLausthal-Zellerfeld;Landkreis Goslar
CO;COburg;Stadt Coburg und Landkreis Coburg
COC;COChem;Landkreis Cochem-Zell
COE;COEsfeld;Kreis Coesfeld
CR;CRailsheim;Landkreis Schwäbisch Hall
CUX;CUXhaven;Landkreis Cuxhaven
CW;CalW;Landkreis Calw
D;Düsseldorf;Stadt Düsseldorf
DA;DArmstadt;Landkreis Darmstadt
DAH;DAcHau;Landkreis Dachau
DAN;DANnenberg;Landkreis Lüchow-Dannenberg
DAU;DAUn;Landkreis Vulkaneifel
DBR;DoBeRan;Landkreis Rostock
DD;DresDen;Stadt Dresden
DE;DEssau;Stadt Dessau-Roßlau
DEG;DEGgendorf;Landkreis Deggendorf
DEL;DELmenhorst;Stadt Delmenhorst
DGF;DinGolFing;Landkreis Dingolfing-Landau
DH;DiepHolz;Landkreis Diepholz
DI;DIeburg;Landkreis Darmstadt-Dieburg
DIL;DILlenburg;Lahn-Dill-Kreis
DIN;DINslaken;Kreis Wesel
DIZ;DIeZ;Rhein-Lahn-Kreis
DKB;DinKelsBühl;Landkreis Ansbach
DL;DöbeLn;Landkreis Mittelsachsen
DLG;DilLinGen;Landkreis Dillingen an der Donau
DM;DemMin;
DN;DüreN;Kreis Düren
DO;DOrtmund;Stadt Dortmund
DON;DONauwörth;Landkreis Donau-Ries
DU;DUisburg;Stadt Duisburg
DUD;DUDerstadt;Landkreis Göttingen 
DÜW;DÜrkheim an der Weinstraße;Landkreis Bad Dürkheim
DW;DippoldisWalde;Landkreis Sächsische Schweiz-Osterzgebirge
DZ;DelitZsch;Landkreis Nordsachsen
E;Essen;Stadt Essen
EA;EisenAch;Stadt Eisenach
EB;EilenBurg;Landkreis Nordsachsen
EBE;EBErsberg;Landkreis Ebersberg
EBN;EBerN;Landkreis Haßberge
EBS;EBermannStadt;
ECK;ECKernförde;Kreis Rendsburg-Eckernförde
ED;ErDing;Landkreis Erding
EE;Elbe, Elster;Landkreis Elbe-Elster
EF;ErFurt;Stadt Erfurt
