intent,text
BookFlight,a ticket to Seattle please
BookFlight,could you book a flight to Los Angeles on 2nd of april for me?
BookFlight,i want a flight to New York
BookFlight,i would like to book a flight to Los Angeles.
BookFlight,"no, i want to fly to Berlin, not to Seattle."
BookSeat,book a seat as close as possible to the galley on my flight to Paris
BookSeat,book a seat for me on my preferred seat.
BookSeat,i need a special seat on my flight
BookSeat,i want to have a window seat
BookSeat,i would like to book a seat on my flight to Paris
CancelFlight,cancel flight to Los Angeles
CancelFlight,cancellation of flight to Seattle.
CancelFlight,i need to cancel my flight to Toronto
CancelFlight,i want to cancel my journey to Berlin.
CancelFlight,please cancel my flight to New York
ChangeFlight,change flight to Toronto.
ChangeFlight,change my flight from New York to Seattle
ChangeFlight,i need to change my flight from Paris to New York
ChangeFlight,i would like to change my flight.
ChangeFlight,"please rebook my flight to Los Angeles, please."
DepartureInfo,could you check whether my flight has a delay?
DepartureInfo,i need the status of my flight Ab9164
DepartureInfo,is my flight on time?
DepartureInfo,what is the status of my flight Ab9164
DepartureInfo,when does Ab9164 depart?
GetEntities,Peter Mahoney
GetEntities,my name is Maria Kistner
GetEntities,i am Margret Delaunay
GetEntities,my firstname is Lisa
GetEntities,my lastname is Delaunay
GetEntities,It's Rasztawicki
GetEntities,it is Theo
GetEntities,Tom Mahoney.
GetEntities,my name is Peter Inhestern.
GetEntities,i am Margret Reichenbach.
GetEntities,my firstname is Peter.
GetEntities,my lastname is Mahoney.
GetEntities,It's Mahoney.
GetEntities,it is Tom.
None,What are you talking about?
None,You are dumb!
None,Do you like candy?
None,how are you doing
None,i want to speak to a human
None,what can you do
None,whats the weather like today
BookFlight,a ticket to Los Angeles please
BookFlight,could you book a flight to London on 2nd of april for me?
BookFlight,i want a flight to Tel Aviv
BookFlight,i would like to book a flight to Seattle.
BookFlight,"no, i want to fly to New York, not to Los Angeles."
BookSeat,book a seat as close as possible to the galley on my flight to Tel Aviv
BookSeat,book a seat for me on my preferred seat.
BookSeat,i need a special seat on my flight
BookSeat,i want to have a window seat
BookSeat,i would like to book a seat on my flight to New York
CancelFlight,cancel flight to Seattle
CancelFlight,cancellation of flight to Seattle.
CancelFlight,i need to cancel my flight to Toronto
CancelFlight,i want to cancel my journey to Toronto.
CancelFlight,please cancel my flight to London
ChangeFlight,change flight to Tokyo.
ChangeFlight,change my flight from London to Paris
