	intent	text
273	ALG_Mitteilung_Ortsabwesenheit	Ich bin arbeitslos, will aber wegfahren.
424	KUG_Sozialversicherung	Muss mein Chef weiter die Sozialversicherung zahlen?
149	ALG_Nettoentgelt_Erklaerung	Was ist brutto oder netto Geld?
53	ALG_Unterschied_Arbeitslos_Arbeitssuchend	Manchmal sagt er was von Arbeit suchen, manchmal arbeitslos. Was ist aber Unterschied?
387	KUG_Krankheit	Wird mein Kurzarbeitergeld bezahlt, auch wenn ich krank bin?
380	KUG_Anspruchsvoraussetzungen	Ich bekomme nur noch Kurzarbeitergeld, warum?
249	Veraenderungsmitteilung_schriftlich_Rente	Ich bin bald in Rente.
357	KUG_Auszahlung	Ihr zahlt mein Kurzarbeitsgeld zu spät aus.
362	Allgemein_Rehaspezifische_Foerderung	Könnt ihr meine Reha unterstützen?
69	Veraenderungsmitteilung_NeueStelle	Melde mich bei euch ab, ich arbeite wieder.
402	KUG_Weiterfuehrende_Informationen	Gibt’s irgendwo weitere Infos zum Kurzarbeitergeld?
266	Veraenderungsmitteilung_Umzug	Ich bin in eine andre Stadt gezogen.
8	SGBII_Unterschied_SGBIII	Wieso unterscheidet ihr Arbeitsagentur und Jobcenter?
198	Teilarbeitslosengeld_Anspruchsdauer	Bis wann bekomme ich das Geld für Teilarbeitslose?
343	Arbeitsvermittlung_Betreuer_erreichen	Ich will sofort mit einem Berater sprechen!
299	Allgemein_Oeffnungszeiten_BA	Was sind eure Öffnungszeiten?
408	KUG_Arbeitszeitnachweis	Werden meine gearbeiteten Stunden überprüft?
414	KUG_Arbeitszeitnachweis	Werden meine Arbeitsstunden kontrolliert?
64	Veraenderungsmitteilung_NeueStelle	Ich brauch kein Arbeitslosengeld mehr, ich hab ne neue Stelle gefunden.
204	Teilarbeitslosengeld_Erklaerung	Krieg ich Geld, weil ich teilarbeitslos bin?
59	ALG_Unterschied_Arbeitslos_Arbeitssuchend	Ich versteh nicht, was arbeitslos und arbeitssuchend ist.
239	Veraenderungsmitteilung_eService_Bankverbindung	Wir haben geheiratet!
328	Arbeitsvermittlung_Bildungsgutschein	Ich brauche Bildungsgutscheine!
228	ALG_Beitraege_Sozialversicherungen	Was muss mein Chef an Sozialversicherung zahlen?
44	ALG_Arbeitslos_melden	Ja, ich hab jetzt keinen Job mehr und möchte nicht bei der BA dafür melden, also für Arbeitslosengeld und so.
371	Allgemein_Ausbildungssuchend_Nachweis	Könnt ihr mir bestätigen, dass ich eine Ausbildung suche?
156	ALG_Nebeneinkommen	Ich bin arbeitslos, aber hab eine kleinen Job nebenher, krieg ich trotzdem mein Geld?
236	ALG_Krankenversicherung	Arbeitslos ohne Krankenversicherung?
153	ALG_Nettoentgelt_Erklaerung	Nettogehalt?
173	ALG_Sperrzeit	Warum bekomme ich denn eine Sperre?
168	ALG_Aenderung_Anspruchsdauer_2020	Was muss ich tun, damit ich länger Arbeitslosengeld krieg?
366	Allgemein_Rehaspezifische_Foerderung	Unterstützt ihr meine Reha?
384	KUG_Krankheit	Ich bin krank geschrieben, bekomme ich trotzdem mein Geld von der Kurzarbeit?
133	ALG_Anrechnung_Leistungen	Was wird alles angerechnet für mein Arbeitslosengeld?
112	ALG_Anspruchsbedingungen	Ich hab bestimmt schon neuen Anspruch auf Arbeitslosengeld.
309	Arbeitsvermittlung_Vermittlungsgutschein	Vermittlungsgutschein bekommen
301	Allgemein_Oeffnungszeiten_BA	Wo stehen eure Öffnungszeiten?
304	Arbeitsvermittlung_Vermittlungsgutschein	Was soll ein Vermittlungsgutschein sein?
33	ALG_Meldung_Wann	Wann muss ich mich denn arbeitssuchend melden?
201	Teilarbeitslosengeld_Anspruchsdauer	Ich brauche länger Teilarbeitslosengeld
308	Arbeitsvermittlung_Vermittlungsgutschein	Was ist ein Vermittlungsgutschein?
418	KUG_Sozialversicherung	Was passiert mit der Sozialversicherung in Kurzarbeit?
122	ALG_Anspruchsdauer	Wann endet mein Arbeitslosengeld?
171	ALG_Sperrzeit	Ich habe Angst, eine Sperre zu bekommen.
9	SGBII_Mietkostenuebernahme	Kann ich irgendwie beantragen, dass ich Unterstützung bei meinem Mietkosten bekomme?
66	Veraenderungsmitteilung_NeueStelle	Ich geh bald wieder arbeiten!
254	Veraenderungsmitteilung_schriftlich_Rente	Muss ich nachweisen, dass ich jetzt Rentnerin bin?
426	KUG_Sozialversicherung	Wer zahlt meinen Sozialversicherungsbeitrag?
282	ALG_Anfrage_Unterlagen_vollstaendig	Habt ihr alles für meinen Antrag?
100	ALG_Auszahlung	Ich brauche mein Arbeitslosengeld früher.
248	Veraenderungsmitteilung_schriftlich_Rente	Ich bin bald Rentner!
221	ALG_Beitraege_Private_Krankenversicherung	Ich will meine private Krankenversicherung nicht verlieren, bin aber arbeitslos.
51	ALG_Arbeitslos_melden	Ich wollt mich arbeitslos melden!
208	Teilarbeitslosengeld_Erklaerung	Ich wurde gekündigt, hab aber eine zweite Stelle, krieg ich trotzdem Arbeitslosengeld?
392	KUG_Berechnung	Berechnet mein Chef mein Kurzarbeitergeld?
422	KUG_Sozialversicherung	Zahlt jemand die Sozialversicherung weiter während der Kurzarbeit?
71	ALG_Aussteuerung	Was ist dieses nahtlosigkeit Prinzip?
229	ALG_Krankenversicherung	Warum bin ich plötzlich nicht mehr krankenversichert?
397	KUG_Berechnung	Wie hoch ist mein Gehalt in Kurzarbeit?
302	Allgemein_Oeffnungszeiten_BA	Kann ich jetzt zu euch kommen?
189	ALG_Abfindung	Wird meine Abfindung gegengerechnet beim Arbeitslosengeld?
23	SGBII_AufstockendeLeistungen	Habt ihr eine Ahnung, wieviel Arbeitslosengeld ich bekomme?
407	KUG_Arbeitszeitnachweis	Muss ich meine Arbeitsstunden aufschreiben?
27	ALG_Arbeitssuchend_melden	Ich Suche neue Arbeit und möchte das mitteilen.
354	KUG_Auszahlung	Bekomme ich mein Kurzarbeitergeld später?
150	ALG_Nettoentgelt_Erklaerung	Wie kann ich mir mein Nettoentgelt ausrechnen?
124	ALG_Anspruchsdauer	Endet mein Arbeitslosengeld irgendwann?
285	Allgemein_Arbeitsbescheinigung_Erklaerung	Wo bekomme ich eine Arbeitsbescheinigung her?
88	ALG_TempArbeit	Wenn ich während der Arbeitslosigkeit arbeiten gehe, wann muss ich mich dann neu arbeitslos melden.
217	Teilarbeitslosengeld_Beantragung	Ich bin teilweise arbeitslos, kann ich was beantragen?
21	SGBII_AufstockendeLeistungen	Das Arbeitslosengeld reicht vorne und hinten nicht!
31	ALG_Arbeitssuchend_melden	Habt ihr eine neue Arbeit für mich?
91	ALG_TempArbeit	Ich bin arbeitslos, arbeite jetzt nur kurz, ist das ok?
307	Arbeitsvermittlung_Vermittlungsgutschein	Könnt ihr mir einen Gutschein zur Arbeitsvermittlung geben?
139	ALG_Anrechnung_Leistungen	
80	Webseite_Verifizierung	Verifiziere mich
265	Veraenderungsmitteilung_Umzug	Ich wohne bald woanders.
262	Veraenderungsmitteilung_Umzug	Ich wollt euch sagen, dass ich bald umziehe!
186	ALG_Sperrzeit_Krankenversicherung	Was passiert jetzt mit der Sozialversicherung, wo ich gesperrt bin?
